Pollster,DateFrom,DateTo,DaysToElection,Rating,Sample,Kelly,McSally
Trafalgar Group,10/6/2020,10/9/2020,,C-,1045,47,45
Morning Consult,10/2/2020,10/11/2020,,B/C,1144,49,41
Ipsos,10/7/2020,10/14/2020,,B-,667,52,41
Targoz Market Research,9/23/2020,10/2/2020,,C/D,1045,51,41
OH Predictive Insights,10/4/2020,10/8/2020,,B/C,608,50,45
Monmouth University,10/9/2020,10/13/2020,,A+,502,52,42
Monmouth University,10/9/2020,10/13/2020,,A+,502,52,42
Monmouth University,10/9/2020,10/13/2020,,A+,502,51,45
YouGov,10/13/2020,10/16/2020,,B,1065,52,41
Data Orbital,10/16/2020,10/18/2020,,A/B,550,48,42
Change Research,10/16/2020,10/19/2020,,C-,232,54,43
RMG Research,10/14/2020,10/19/2020,,B/C,800,46,39
Rasmussen Reports/Pulse Opinion Research,10/18/2020,10/19/2020,,C+,800,46,44
Ipsos,10/14/2020,10/21/2020,,B-,658,51,43
Morning Consult,10/11/2020,10/20/2020,,B/C,1066,48,44
Basswood Research,8/29/2020,8/31/2020,,B/C,800,48,48
Basswood Research,10/3/2020,10/5/2020,,B/C,800,47,49
Susquehanna Polling & Research Inc.,10/19/2020,10/22/2020,,C,500,47,50
